Codigo;Nome;Barra;Submercado
220; A2ENER _ENER ;0; SE      
221; A5UTVP _Bioe ;0; SE      
222; 5G1484 _MMGD ;0; SE      
223; 5G1485 _MMGD ;0; SE      
224; 5G1486 _MMGD ;0; SE      
225; 5G1487 _MMGD ;0; SE      
226; 5G1488 _MMGD ;0; SE      
227; 5G1489 _MMGD ;0; SE      
228; 5G1491 _MMGD ;0; SE      
229; 5G1492 _MMGD ;0; SE      
230; 5G1493 _MMGD ;0; SE      
231; A2CRIS _CRIS ;0; SE      
232; A2LDAS _Luiz ;0; SE      
233; A2NINH _NINH ;0; SE      
234; A5REPI _REDE ;0; SE      
235; 5G1506 _MMGD ;0; SE      
236; 5G1508 _MMGD ;0; SE      
237; 5G1509 _MMGD ;0; SE      
238; 5G1510 _MMGD ;0; SE      
239; 5G1512 _MMGD ;0; SE      
240; 5G1513 _MMGD ;0; SE      
241; 5G1516 _MMGD ;0; SE      
242; 5G1519 _MMGD ;0; SE      
243; 5G1521 _MMGD ;0; SE      
244; 5G1524 _MMGD ;0; SE      
245; 5G1526 _MMGD ;0; SE      
246; 5G1527 _MMGD ;0; SE      
247; 5G1528 _MMGD ;0; SE      
248; 5G1532 _MMGD ;0; SE      
249; A2ANTO _ANTO ;0; SE      
250; A2CGR1 _COCA ;0; SE      
251; A2CGR2 _COCA ;0; SE      
252; 5G1533 _MMGD ;0; SE      
253; 5G1536 _MMGD ;0; SE      
254; A5SAOG _SAO  ;0; SE      
255; 5G1538 _MMGD ;0; SE      
256; 5G1539 _MMGD ;0; SE      
257; 5G1540 _MMGD ;0; SE      
258; 5G1541 _MMGD ;0; SE      
259; 5G1542 _MMGD ;0; SE      
260; 5G1543 _MMGD ;0; SE      
261; 5G1544 _MMGD ;0; SE      
262; 5G1546 _MMGD ;0; SE      
263; 5G1548 _MMGD ;0; SE      
264; 5G1549 _MMGD ;0; SE      
265; 5G1550 _MMGD ;0; SE      
266; 5G1551 _MMGD ;0; SE      
267; 5G1552 _MMGD ;0; SE      
268; 5G1553 _MMGD ;0; SE      
269; 5G1554 _MMGD ;0; SE      
270; 5G1555 _MMGD ;0; SE      
271; 5G1556 _MMGD ;0; SE      
272; 5G1557 _MMGD ;0; SE      
273; 5G1558 _MMGD ;0; SE      
274; 5G1561 _MMGD ;0; SE      
275; 5G1564 _MMGD ;0; SE      
276; 5G1565 _MMGD ;0; SE      
277; A2CABC _CABO ;0; SE      
278; A2CACA _CACH ;0; SE      
279; A2FUMA _FUMA ;0; SE      
280; A2FUNL _FUNI ;0; SE      
281; A2FURQ _FURQ ;0; SE      
282; A5SALT _SALT ;0; SE      
283; A2GABR _GABR ;0; SE      
284; 5G1570 _MMGD ;0; SE      
285; A2FARA _FARI ;0; SE      
286; A5PTGS _PITA ;0; SE      
287; 5G1572 _MMGD ;0; SE      
288; 5G1573 _MMGD ;0; SE      
289; 5G1577 _MMGD ;0; SE      
290; 5G1578 _MMGD ;0; SE      
291; 5G1579 _MMGD ;0; SE      
292; 5G1580 _MMGD ;0; SE      
293; 5G1581 _MMGD ;0; SE      
294; 5G1582 _MMGD ;0; SE      
295; 5G1583 _MMGD ;0; SE      
296; 5G1587 _MMGD ;0; SE      
297; 5G1588 _MMGD ;0; SE      
298; 5G1600 _MMGD ;0; SE      
299; 5G1601 _MMGD ;0; SE      
300; 5G1602 _MMGD ;0; SE      
