Codigo;Nome;Barra;Submercado
522; 5G2243 _MMGD ;2243; SE      
523; 5G2246 _MMGD ;2246; SE      
524; 5G2247 _MMGD ;2247; SE      
525; 5G2249 _MMGD ;2249; SE      
526; 5G2250 _MMGD ;2250; SE      
527; 5G2251 _MMGD ;2251; SE      
528; 5G2254 _MMGD ;2254; SE      
529; 5G2255 _MMGD ;2255; SE      
530; 5G2256 _MMGD ;2256; SE      
531; 5G2257 _MMGD ;2257; SE      
532; 5G2258 _MMGD ;2258; SE      
533; 5G2260 _MMGD ;2260; SE      
534; 5G2263 _MMGD ;2263; SE      
535; 5G2264 _MMGD ;2264; SE      
536; 5G2265 _MMGD ;2265; SE      
537; 5G2266 _MMGD ;2266; SE      
538; 5G2267 _MMGD ;2267; SE      
539; 5G2269 _MMGD ;2269; SE      
540; 5G2270 _MMGD ;2270; SE      
541; 5G2271 _MMGD ;2271; SE      
542; 5G2272 _MMGD ;2272; SE      
543; A4UBU  _Buri ;2272; SE      
544; 5G2273 _MMGD ;2273; SE      
545; 5G2274 _MMGD ;2274; SE      
546; A6USJ  _SAO  ;2275; SE      
547; A4UEC  _Eloy ;2276; SE      
548; 5G2277 _MMGD ;2277; SE      
549; 5G2279 _MMGD ;2279; SE      
550; 5G2280 _MMGD ;2280; SE      
551; 5G2281 _MMGD ;2281; SE      
552; 5G2283 _MMGD ;2283; SE      
553; 5G2284 _MMGD ;2284; SE      
554; 5G2285 _MMGD ;2285; SE      
555; 5G2286 _MMGD ;2286; SE      
556; 5G2287 _MMGD ;2287; SE      
557; 5G2288 _MMGD ;2288; SE      
558; 5G2290 _MMGD ;2290; SE      
559; 5G2292 _MMGD ;2292; SE      
560; 5G2293 _MMGD ;2293; SE      
561; 5G2294 _MMGD ;2294; SE      
562; 5G2295 _MMGD ;2295; SE      
563; 5G2296 _MMGD ;2296; SE      
564; 5G2298 _MMGD ;2298; SE      
565; KWBRCL _CJ B ;2298; SE      
566; 5G2299 _MMGD ;2299; SE      
567; 5G2300 _MMGD ;2300; SE      
568; A4SANC _SANT ;2303; SE      
569; A4SANN _SANT ;2303; SE      
570; 5G2304 _MMGD ;2304; SE      
571; 5G2305 _MMGD ;2305; SE      
572; 5G2307 _MMGD ;2307; SE      
573; 5G2308 _MMGD ;2308; SE      
574; 5G2309 _MMGD ;2309; SE      
575; 5G2310 _MMGD ;2310; SE      
576; 5G2311 _MMGD ;2311; SE      
577; 5G2312 _MMGD ;2312; SE      
578; A6YJC  _Sao  ;2313; SE      
579; 5G2314 _MMGD ;2314; SE      
580; 5G2315 _MMGD ;2315; SE      
581; 5G2316 _MMGD ;2316; SE      
582; 5G2318 _MMGD ;2318; SE      
583; 5G2319 _MMGD ;2319; SE      
584; 5G2320 _MMGD ;2320; SE      
585; 5G2322 _MMGD ;2322; SE      
586; 5G2324 _MMGD ;2324; SE      
587; A4CENT _Cent ;2325; SE      
588; 5G2326 _MMGD ;2326; SE      
589; 5G2327 _MMGD ;2327; SE      
590; 5G2328 _MMGD ;2328; SE      
591; 5G2329 _MMGD ;2329; SE      
592; 5G2330 _MMGD ;2330; SE      
593; 5G2331 _MMGD ;2331; SE      
594; 5G2332 _MMGD ;2332; SE      
595; 5G2333 _MMGD ;2333; SE      
596; 5G2334 _MMGD ;2334; SE      
597; 5G2335 _MMGD ;2335; SE      
598; 5G2336 _MMGD ;2336; SE      
599; 5G2337 _MMGD ;2337; SE      
600; 5G2338 _MMGD ;2338; SE      
601; 5G2339 _MMGD ;2339; SE      
602; 5G2340 _MMGD ;2340; SE      
603; 5G2341 _MMGD ;2341; SE      
604; 5G2342 _MMGD ;2342; SE      
605; 5G2343 _MMGD ;2343; SE      
606; 5G2344 _MMGD ;2344; SE      
607; 5G2345 _MMGD ;2345; SE      
608; 5G2346 _MMGD ;2346; SE      
609; 5G2347 _MMGD ;2347; SE      
610; 5G2348 _MMGD ;2348; SE      
611; 5G2351 _MMGD ;2351; S       
612; 5G2355 _MMGD ;2355; S       
613; 5G2356 _MMGD ;2356; S       
